character	code_point	kMandarin17	CNS11643	policy
㐜	U+341C	chóu	qiú	kMandarin17 retained
㐡	U+3421	nuò	nuò rú	kMandarin17 retained
㐬	U+342C	liú	bù fōu fǒu fū tū liú huāng	kMandarin17 retained
㐰	U+3430	xìn	xìn shēn	kMandarin17 retained
㐵	U+3435	rú	xiè rú	kMandarin17 retained
㐷	U+3437	mǎ	mà	kMandarin17 retained
㐸	U+3438	qiàn	qiàn cì	kMandarin17 retained
㐹	U+3439	yì	qì yì	kMandarin17 retained
㐺	U+343A	yín	pān zhòng yín	kMandarin17 retained
㐼	U+343C	chèng	shēng	kMandarin17 retained
㑃	U+3443	ǎo	ào	kMandarin17 retained
㑇	U+3447	zhòu	zhòu zhū	kMandarin17 retained
㑈	U+3448	dòng	dōng	kMandarin17 retained
㑋	U+344B	qióng	qiòng	kMandarin17 retained
㑌	U+344C	kuāng	kuāng wāng	kMandarin17 retained
㑐	U+3450	shū	shú	kMandarin17 retained
㑘	U+3458	jiè	ga jià jiè	kMandarin17 retained
㑜	U+345C	yì	zhè chì yì	kMandarin17 retained
㑞	U+345E	yìng	yìng yùn	kMandarin17 retained
㑥	U+3465	yì	chǐ shì yì	kMandarin17 retained
㑨	U+3468	yǔ	hóu hòu	kMandarin17 retained
㑱	U+3471	rǎo	náo rǎo	kMandarin17 retained
㑵	U+3475	hàn	jí	kMandarin17 retained
㑹	U+3479	huì	guì kuài huǐ huì	kMandarin17 retained
㑺	U+347A	jùn	jùn zùn	kMandarin17 retained
㒀	U+3480	zhāi	zhǎ zhé	kMandarin17 retained
㒃	U+3483	èr	nì èr	kMandarin17 retained
㒆	U+3486	chì	hé xì shè	kMandarin17 retained
㒈	U+3488	hàn	xiàn	kMandarin17 retained
㒉	U+3489	tǎng	tǎng chǎng	kMandarin17 retained
㒍	U+348D	léi	lěi	kMandarin17 retained
㒑	U+3491	kuǐ	huì	kMandarin17 retained
㒔	U+3494	shú	dú tǔ shǔ	kMandarin17 retained
㒚	U+349A	yìn	yìn wěn	kMandarin17 retained
㒛	U+349B	diào	diǎo	kMandarin17 retained
㒝	U+349D	miè	miè wà	kMandarin17 retained
㒞	U+349E	jùn	jùn zùn	kMandarin17 retained
㒤	U+34A4	chè	chè shè	kMandarin17 retained
㒦	U+34A6	lěi	lěi lèi	kMandarin17 retained
㒷	U+34B7	guǎ	xīng xìng	kMandarin17 retained
㒻	U+34BB	mào	mò mào méng	kMandarin17 retained
㓄	U+34C4	zhèn	chèn	kMandarin17 retained
㓎	U+34CE	qīn	qīn qǐn qìn	kMandarin17 retained
㓝	U+34DD	xíng	xíng chuāng chuàng	kMandarin17 retained
㓞	U+34DE	qià	qì qià	kMandarin17 retained
㓠	U+34E0	diàn	diǎn diàn	kMandarin17 retained
㓡	U+34E1	fǔ	fǒu	kMandarin17 retained
㓣	U+34E3	qià	gē qià	kMandarin17 retained
㓥	U+34E5	tāng	tāng tōng	kMandarin17 retained
㓨	U+34E8	cí	cì	kMandarin17 retained
㓮	U+34EE	diāo	diāo gē	kMandarin17 retained
㓯	U+34EF	lí	lí lǐ	kMandarin17 retained
㓰	U+34F0	huà	huá huà	kMandarin17 retained
㓱	U+34F1	tóu	tóu shū	kMandarin17 retained
㓸	U+34F8	zhuō	dōu lóu zhuó	kMandarin17 retained
㓹	U+34F9	ruì	ruì cuì	kMandarin17 retained
㓺	U+34FA	jiān	jiān qián	kMandarin17 retained
㓽	U+34FD	chóng	chóng chòng	kMandarin17 retained
㓾	U+34FE	xī	qí xī	kMandarin17 retained
㔀	U+3500	lüè	liàng	kMandarin17 retained
㔃	U+3503	jué	jué xuē	kMandarin17 retained
㔉	U+3509	zhǔ	zhú	kMandarin17 retained
㔊	U+350A	zhǎn	dǎn zhǎn	kMandarin17 retained
㔋	U+350B	jiān	làn jiān	kMandarin17 retained
㔌	U+350C	zòu	zòu cǒu	kMandarin17 retained
㔎	U+350E	xiè	xuē	kMandarin17 retained
㔗	U+3517	fèi	bèi fèi	kMandarin17 retained
㔘	U+3518	chù	zhuó chù	kMandarin17 retained
㔚	U+351A	jié	kǒu	kMandarin17 retained
㔜	U+351C	bá	bó	kMandarin17 retained
㔝	U+351D	liǎng	liáng liǎng	kMandarin17 retained
㔞	U+351E	kuài	kuāi	kMandarin17 retained
㔠	U+3520	xiā	hé xiā	kMandarin17 retained
㔡	U+3521	biē	pì	kMandarin17 retained
㔢	U+3522	jué	jué xuē	kMandarin17 retained
㔣	U+3523	léi	léi lèi	kMandarin17 retained
㔥	U+3525	bài	bǎi bài pí	kMandarin17 retained
㔭	U+352D	chè	chí shi	kMandarin17 retained
㔯	U+352F	xuán	xuán suān suǎn	kMandarin17 retained
㔶	U+3536	gòng	gǎn gòng	kMandarin17 retained
㔽	U+353D	yào	yǒu	kMandarin17 retained
㔾	U+353E	xiān	jié	kMandarin17 retained
㕂	U+3542	yín	qín yín	kMandarin17 retained
㕆	U+3546	hù	dǔ hù	kMandarin17 retained
㕉	U+3549	kè	kè ǎn wā	kMandarin17 retained
㕐	U+3550	xiě	xiě xiè	kMandarin17 retained
㕒	U+3552	wēi	wéi	kMandarin17 retained
㕛	U+355B	xù	xiáo yáo yǒu	kMandarin17 retained
㕟	U+355F	kuì	tiān kuài kuì	kMandarin17 retained
㕠	U+3560	shuāng	shuāng shuàng	kMandarin17 retained
㕤	U+3564	qiú	qiú róu	kMandarin17 retained
㕬	U+356C	gōng	gōng zhōng sòng	kMandarin17 retained
㕮	U+356E	fǔ	fǔ fù	kMandarin17 retained
㕯	U+356F	nè	nà	kMandarin17 retained
㕰	U+3570	xuè	mā xuè	kMandarin17 retained
㕲	U+3572	huá	huá yíng	kMandarin17 retained
㕵	U+3575	guó	máng guó	kMandarin17 retained
㕶	U+3576	ň	mò fǔ en	kMandarin17 retained
㕷	U+3577	huà	pā piā huà huò	kMandarin17 retained
㕺	U+357A	xiāo	háo hào xiāo è	kMandarin17 retained
㖃	U+3583	hǒu	gòu hǒu	kMandarin17 retained
㖕	U+3595	niè	niè xīn	kMandarin17 retained
㖖	U+3596	niè	niè xīn	kMandarin17 retained
㖠	U+35A0	nuò	nǎ něi nuó	kMandarin17 retained
㖢	U+35A2	qí	zǐ cí suò	kMandarin17 retained
㖣	U+35A3	tòu	pǒu	kMandarin17 retained
㖧	U+35A7	hūn	hūn wěn	kMandarin17 retained
㖩	U+35A9	jū	dié niè jū zú sǒu	kMandarin17 retained
㖪	U+35AA	huò	guó huò xù yù	kMandarin17 retained
㖵	U+35B5	gé	jù	kMandarin17 retained
㖶	U+35B6	yān	yè yān yàn yīn	kMandarin17 retained
㖸	U+35B8	xué	jù jué xuē	kMandarin17 retained
㖹	U+35B9	pēn	pēn pén pèn fèn	kMandarin17 retained
㖻	U+35BB	niú	niú róu	kMandarin17 retained
㖼	U+35BC	duǒ	móu	kMandarin17 retained
㖽	U+35BD	zé	dié zhì zé	kMandarin17 retained
㖿	U+35BF	xié	yé	kMandarin17 retained
㗇	U+35C7	xiá	xiā	kMandarin17 retained
㗈	U+35C8	màn	mán	kMandarin17 retained
㗉	U+35C9	lüè	lüè è	kMandarin17 retained
㗑	U+35D1	bai	bài bei	kMandarin17 retained
㗕	U+35D5	gòu	gōu gòu	kMandarin17 retained
㗗	U+35D7	bēi	bǐ	kMandarin17 retained
㗙	U+35D9	chū	chú	kMandarin17 retained
㗢	U+35E2	hóng	dòng hóng hòng	kMandarin17 retained
㗤	U+35E4	cù	qī zá zú	kMandarin17 retained
㗥	U+35E5	kuò	guō kuò	kMandarin17 retained
㗧	U+35E7	zhì	dié zhì	kMandarin17 retained
㗨	U+35E8	xiē	xiē ǎi	kMandarin17 retained
㗬	U+35EC	zhā	chā	kMandarin17 retained
㗲	U+35F2	huò	huà huò	kMandarin17 retained
㗳	U+35F3	tǎ	dā tǎ tà	kMandarin17 retained
㗵	U+35F5	xù	hū xù chuā	kMandarin17 retained
㗻	U+35FB	guō	guō hé	kMandarin17 retained
㗿	U+35FF	hé	hē hě qiè xiā xià	kMandarin17 retained
㘆	U+3606	tǎi	tái	kMandarin17 retained
㘈	U+3608	yì	nǐ yì	kMandarin17 retained
㘉	U+3609	zhì	jié	kMandarin17 retained
㘊	U+360A	xī	xī yì	kMandarin17 retained
㘌	U+360C	jù	jù jué xuē	kMandarin17 retained
㘔	U+3614	sǎi	sāi sái sǎi	kMandarin17 retained
㘕	U+3615	hǎn	lán làn hǎn	kMandarin17 retained
㘜	U+361C	chǐ	chóu	kMandarin17 retained
㘝	U+361D	niè	nì	kMandarin17 retained
㘞	U+361E	huò	duò huò	kMandarin17 retained
㘠	U+3620	bì	bī	kMandarin17 retained
㘡	U+3621	xiá	jiǎ xiá	kMandarin17 retained
㘣	U+3623	xuán	xuān	kMandarin17 retained
㘥	U+3625	yóu	é yóu	kMandarin17 retained
㘨	U+3628	niè	niè kuài	kMandarin17 retained
㘫	U+362B	jǐng	jìng	kMandarin17 retained
㘬	U+362C	ào	bì fó fú āo ào wù	kMandarin17 retained
㘭	U+362D	ào	huàn āo ào	kMandarin17 retained
㘷	U+3637	ài	ài yì	kMandarin17 retained
㘸	U+3638	zàng	zàng zuò	kMandarin17 retained
㘹	U+3639	cí	jí	kMandarin17 retained
㙀	U+3640	liù	liù jiù	kMandarin17 retained
㙉	U+3649	tiǎn	diǎn tiǎn	kMandarin17 retained
㙊	U+364A	cháng	zhàng	kMandarin17 retained
㙍	U+364D	duō	duō duó	kMandarin17 retained
㙔	U+3654	wěi	hán wěi	kMandarin17 retained
㙙	U+3659	lǒng	měng	kMandarin17 retained
㙜	U+365C	chí	tái	kMandarin17 retained
㙤	U+3664	xià	hū xià	kMandarin17 retained
㙨	U+3668	jì	jī qí	kMandarin17 retained
㙮	U+366E	dā	dā da	kMandarin17 retained
㙲	U+3672	yǒng	yōng yǒng	kMandarin17 retained
㙳	U+3673	kǎn	kǎn hǎn	kMandarin17 retained
㙷	U+3677	zhí	zhí zhé	kMandarin17 retained
㙸	U+3678	bào	pú	kMandarin17 retained
㙺	U+367A	kuí	guì	kMandarin17 retained
㙼	U+367C	lěi	lěi lǜ	kMandarin17 retained
㙾	U+367E	xì	hú què xué	kMandarin17 retained
㚇	U+3687	zōng	zōng zòng	kMandarin17 retained
㚌	U+368C	huà	huǒ	kMandarin17 retained
㚔	U+3694	niè	niè xìng	kMandarin17 retained
㚕	U+3695	fú	bì fú	kMandarin17 retained
㚜	U+369C	yù	xù yù	kMandarin17 retained
㚝	U+369D	zhuī	kuī jùn	kMandarin17 retained
㚢	U+36A2	nú	nú wǔ	kMandarin17 retained
㚣	U+36A3	xiáo	jiāo jiǎo	kMandarin17 retained
㚦	U+36A6	yí	jī	kMandarin17 retained
㚨	U+36A8	shěn	shēn	kMandarin17 retained
㚯	U+36AF	xín	xún	kMandarin17 retained
㚰	U+36B0	pēi	bǐ	kMandarin17 retained
㚲	U+36B2	chān	diǎn diàn chè chān	kMandarin17 retained
㚴	U+36B4	bù	pù	kMandarin17 retained
㚶	U+36B6	sì	jī sì	kMandarin17 retained
㚷	U+36B7	ěr	nǎi	kMandarin17 retained
㚹	U+36B9	mǎo	miáo	kMandarin17 retained
㛀	U+36C0	chú	chú zòu	kMandarin17 retained
㛆	U+36C6	duò	duǒ duò	kMandarin17 retained
㛐	U+36D0	sǒu	sǎo	kMandarin17 retained
㛕	U+36D5	yì	è yì yà	kMandarin17 retained
㛗	U+36D7	qiē	qiē zuō suō	kMandarin17 retained
㛚	U+36DA	tǒng	tǒng yǒng	kMandarin17 retained
㛛	U+36DB	xìn	zhèn chén shēn	kMandarin17 retained
㛤	U+36E4	lí	lí lì	kMandarin17 retained
㛩	U+36E9	zhóu	zhóu zhú	kMandarin17 retained
㛪	U+36EA	yàn	yān yàn	kMandarin17 retained
㛫	U+36EB	xī	xí	kMandarin17 retained
㛭	U+36ED	xī	xí	kMandarin17 retained
㛯	U+36EF	fàn	miǎn fàn fù zhuàn wǎn	kMandarin17 retained
㛱	U+36F1	wěi	wēi wěi	kMandarin17 retained
㛲	U+36F2	fà	fǎ	kMandarin17 retained
㛺	U+36FA	ān	ā āng yān	kMandarin17 retained
㛼	U+36FC	chā	chā shà	kMandarin17 retained
㜄	U+3704	xún	xín	kMandarin17 retained
㜇	U+3707	huì	huì yè	kMandarin17 retained
㜑	U+3711	fú	pó	kMandarin17 retained
㜗	U+3717	cān	cān sēn	kMandarin17 retained
㜘	U+3718	jù	jiē qù chá	kMandarin17 retained
㜛	U+371B	nèn	nèn ruǎn	kMandarin17 retained
㜝	U+371D	ǎn	ān ǎn yǎn	kMandarin17 retained
㜞	U+371E	qiàn	qiàn cán	kMandarin17 retained
㜣	U+3723	rán	shǎn rán	kMandarin17 retained
㜤	U+3724	niǎn	tán tiǎn niǎn shěn	kMandarin17 retained
㜦	U+3726	xín	xún	kMandarin17 retained
㜧	U+3727	yuè	yuē	kMandarin17 retained
㜪	U+372A	shēn	xiǎn xīn	kMandarin17 retained
㜫	U+372B	mà	měi	kMandarin17 retained
㜮	U+372E	làn	lán làn	kMandarin17 retained
㜱	U+3731	zhì	zhí	kMandarin17 retained
㜲	U+3732	wěng	yíng	kMandarin17 retained
㜶	U+3736	wǎn	fàn	kMandarin17 retained
㜷	U+3737	mí	mí xiǎn	kMandarin17 retained
㜻	U+373B	liàn	luán lüǎn	kMandarin17 retained
㜽	U+373D	zǐ	zǐ zi	kMandarin17 retained
㜾	U+373E	hái	gū hāi hái	kMandarin17 retained
㝀	U+3740	hào	hǎo hào	kMandarin17 retained
㝁	U+3741	xuān	qióng xuān	kMandarin17 retained
㝂	U+3742	zhì	zhì zhè	kMandarin17 retained
㝃	U+3743	miǎn	miǎn wǎn	kMandarin17 retained
㝄	U+3744	chún	zhǔn chún	kMandarin17 retained
㝈	U+3748	luán	luán lüán	kMandarin17 retained
㝉	U+3749	zhù	bāo bǎo zhù	kMandarin17 retained
㝊	U+374A	shǒu	shǒu shòu	kMandarin17 retained
㝍	U+374D	xiě	xiě xiè	kMandarin17 retained
㝎	U+374E	dìng	biǎn dìng	kMandarin17 retained
㝑	U+3751	máng	bàng páng péng fáng	kMandarin17 retained
㝔	U+3754	yǎo	jiào yǎo yào	kMandarin17 retained
㝕	U+3755	níng	níng nìng	kMandarin17 retained
㝗	U+3757	láng	láng lǎng	kMandarin17 retained
㝞	U+375E	yā	yā yà	kMandarin17 retained
㝟	U+375F	máo	mào méng kuān	kMandarin17 retained
㝡	U+3761	zuì	zuì cuō	kMandarin17 retained
㝫	U+376B	lóng	lōng	kMandarin17 retained
㝭	U+376D	xǐng	xíng	kMandarin17 retained
㝵	U+3775	dé	dé de dǎi děi ài	kMandarin17 retained
㝶	U+3776	ài	dé de dǎi děi ài	kMandarin17 retained
㝻	U+377B	jǐn	jìn	kMandarin17 retained
㝽	U+377D	chuí	zhuǐ	kMandarin17 retained
㞂	U+3782	tuǐ	tuǐ kuǐ kuì	kMandarin17 retained
㞃	U+3783	jì	jí	kMandarin17 retained
㞆	U+3786	jǐ	jǐ qì	kMandarin17 retained
㞉	U+3789	zā	zuō	kMandarin17 retained
㞋	U+378B	niǎn	niǎn jí ruǎn	kMandarin17 retained
㞎	U+378E	bǎ	bǎ pā	kMandarin17 retained
㞏	U+378F	zhé	jí zhí	kMandarin17 retained
㞐	U+3790	jū	jī jū	kMandarin17 retained
㞒	U+3792	xiè	xì xiè	kMandarin17 retained
㞔	U+3794	yí	chǐ	kMandarin17 retained
㞕	U+3795	xiè	xiè xiāo xuè	kMandarin17 retained
㞖	U+3796	cí	cì	kMandarin17 retained
㞘	U+3798	dū	dū tún zhuó	kMandarin17 retained
㞙	U+3799	niào	niào shī	kMandarin17 retained
㞟	U+379F	diàn	diàn dǐng	kMandarin17 retained
㞠	U+37A0	láo	liáo	kMandarin17 retained
㞤	U+37A4	yín	cén yín	kMandarin17 retained
㞧	U+37A7	huì	guì kuài huǐ huì	kMandarin17 retained
㞩	U+37A9	lán	lán lǎn	kMandarin17 retained
㞫	U+37AB	jù	zǒu	kMandarin17 retained
㞬	U+37AC	qìn	qǐn	kMandarin17 retained
㞯	U+37AF	jié	qǐ	kMandarin17 retained
㞶	U+37B6	mǐn	mín	kMandarin17 retained
㞷	U+37B7	huáng	kuáng huáng	kMandarin17 retained
㞿	U+37BF	chì	qí	kMandarin17 retained
㟅	U+37C5	yáng	lóng yáng	kMandarin17 retained
㟇	U+37C7	cuò	zuò cuó	kMandarin17 retained
㟎	U+37CE	tuǒ	tuó tuǐ	kMandarin17 retained
㟏	U+37CF	hán	hān hán	kMandarin17 retained
㟐	U+37D0	mǎng	máng	kMandarin17 retained
㟒	U+37D2	qūn	qūn qún	kMandarin17 retained
㟔	U+37D4	hán	hān hán	kMandarin17 retained
㟗	U+37D7	bīn	bīn fēn	kMandarin17 retained
㟛	U+37DB	zàn	kān qiān qiǎn qiàn	kMandarin17 retained
㟝	U+37DD	péi	péi pǒu	kMandarin17 retained
㟞	U+37DE	zhàn	zhǎn	kMandarin17 retained
㟠	U+37E0	gǎng	gāng gǎng	kMandarin17 retained
㟪	U+37EA	wēi	wēi wěi	kMandarin17 retained
㟲	U+37F2	jué	yuán	kMandarin17 retained
㟴	U+37F4	kuài	wéi	kMandarin17 retained
㟵	U+37F5	gǎng	gāng gǎng	kMandarin17 retained
㟷	U+37F7	da	dā	kMandarin17 retained
㟺	U+37FA	lóu	lǒu	kMandarin17 retained
㟻	U+37FB	qiàn	qiàn zhǎn chán	kMandarin17 retained
㟽	U+37FD	biǎo	biāo biǎo	kMandarin17 retained
㟿	U+37FF	mǎng	máng mǎng	kMandarin17 retained
㠅	U+3805	fú	fù	kMandarin17 retained
㠌	U+380C	qī	qī qí qiān qiàn	kMandarin17 retained
㠎	U+380E	jí	jí jié	kMandarin17 retained
㠐	U+3810	jiào	jiào qiáo	kMandarin17 retained
㠒	U+3812	biǎo	biāo biǎo	kMandarin17 retained
㠙	U+3819	háo	yáo	kMandarin17 retained
㠜	U+381C	nì	nì yí	kMandarin17 retained
㠠	U+3820	lú	lǘ	kMandarin17 retained
㠥	U+3825	lǜ	léi lěi lèi lǜ	kMandarin17 retained
㠮	U+382E	pēng	gāng	kMandarin17 retained
㠱	U+3831	jì	jì qǐ	kMandarin17 retained
㠶	U+3836	fán	fān fán	kMandarin17 retained
㠸	U+3838	kù	fū	kMandarin17 retained
㠺	U+383A	shā	miáo	kMandarin17 retained
㠿	U+383F	zī	zī cǐ	kMandarin17 retained
㡄	U+3844	xún	xián xuān xuàn xún	kMandarin17 retained
㡇	U+3847	zhé	jiē zhé	kMandarin17 retained
㡈	U+3848	wèn	mén miǎn wèn	kMandarin17 retained
㡋	U+384B	yé	ān yè	kMandarin17 retained
㡎	U+384E	shān	shān shēn cāo	kMandarin17 retained
㡏	U+384F	shù	tóu xū shū shù yú	kMandarin17 retained
㡑	U+3851	qiāo	jiǎo qiāo cāo	kMandarin17 retained
㡓	U+3853	kūn	kūn huī	kMandarin17 retained
㡔	U+3854	wù	mòu mú mù xù wù	kMandarin17 retained
㡖	U+3856	chuáng	chóng	kMandarin17 retained
㡛	U+385B	máng	huāng	kMandarin17 retained
㡜	U+385C	xiè	xiè xuě	kMandarin17 retained
㡠	U+3860	zhèng	zhēn zhèng	kMandarin17 retained
㡦	U+3866	pīn	bīn	kMandarin17 retained
㡧	U+3867	zhèng	zhēn zhèng	kMandarin17 retained
㡨	U+3868	jiān	jiān qiān	kMandarin17 retained
㡫	U+386B	yì	yì yè	kMandarin17 retained
㡯	U+386F	zhái	dù duò zhè zhái	kMandarin17 retained
㡳	U+3873	zhǐ	de dǐ zhǐ	kMandarin17 retained
㡸	U+3878	zhà	zhǎ chá	kMandarin17 retained
㡼	U+387C	yì	xiè	kMandarin17 retained
㢁	U+3881	chǐ	chǐ chì	kMandarin17 retained
㢂	U+3882	yǎn	duī tuí yǎn	kMandarin17 retained
㢈	U+3888	tuí	duī tuí	kMandarin17 retained
㢊	U+388A	ǎi	ǎi yǐ	kMandarin17 retained
㢏	U+388F	tóu	tóu yú yǔ	kMandarin17 retained
㢑	U+3891	tuí	suī	kMandarin17 retained
㢓	U+3893	yǎo	zhàng	kMandarin17 retained
㢖	U+3896	pān	bān pān	kMandarin17 retained
㢙	U+3899	qín	jǐn jìn qín	kMandarin17 retained
㢛	U+389B	yàn	lián qiān yàn	kMandarin17 retained
㢜	U+389C	kàng	kāng	kMandarin17 retained
㢟	U+389F	chān	chān chǎn	kMandarin17 retained
㢠	U+38A0	jiǒng	huí jiǒng	kMandarin17 retained
㢣	U+38A3	jìng	qíng	kMandarin17 retained
㢧	U+38A7	juàn	juǎn juàn quán	kMandarin17 retained
㢮	U+38AE	chí	chí shǐ	kMandarin17 retained
㢯	U+38AF	diāo	mín diāo dūn	kMandarin17 retained
㢲	U+38B2	xùn	xùn sùn	kMandarin17 retained
㢻	U+38BB	ruì	nèi ruì	kMandarin17 retained
㢼	U+38BC	biè	bié biè	kMandarin17 retained
㣃	U+38C3	yǔ	yù	kMandarin17 retained
㣆	U+38C6	mí	mǐ	kMandarin17 retained
㣑	U+38D1	róng	yóng	kMandarin17 retained
㣔	U+38D4	dīng	dīng zhēng chēng	kMandarin17 retained
㣠	U+38E0	tāo	tāo tóng zhōng yōu	kMandarin17 retained
㣦	U+38E6	wēi	wēi wěi	kMandarin17 retained
㣫	U+38EB	zhǒng	dòng zhǒng	kMandarin17 retained
㣰	U+38F0	xiè	xī	kMandarin17 retained
㣼	U+38FC	rěn	bō bāo rěn	kMandarin17 retained
㣽	U+38FD	shù	nù shù	kMandarin17 retained
㣿	U+38FF	zhuó	dì diǎo zhuó	kMandarin17 retained
㤁	U+3901	miǎn	tiǎn	kMandarin17 retained
㤃	U+3903	fáng	fāng fáng fǎng	kMandarin17 retained
㤄	U+3904	pèi	pèi fèi	kMandarin17 retained
㤇	U+3907	ǎo	ào	kMandarin17 retained
㤉	U+3909	qiā	qiā yà	kMandarin17 retained
㤊	U+390A	xiào	jiāo xiào	kMandarin17 retained
㤋	U+390B	fēn	bèn fēn	kMandarin17 retained
㤐	U+3910	chān	tiē zhān	kMandarin17 retained
㤑	U+3911	yòu	yōu yòu	kMandarin17 retained
㤖	U+3916	zhù	zhǔ	kMandarin17 retained
㤘	U+3918	zhòu	zhòu chǎo	kMandarin17 retained
㤛	U+391B	nín	nín rèn	kMandarin17 retained
㤜	U+391C	jué	xù	kMandarin17 retained
㤞	U+391E	chà	duó zhè chā	kMandarin17 retained
㤠	U+3920	liè	lì liè	kMandarin17 retained
㤡	U+3921	lì	lì liè	kMandarin17 retained
㤩	U+3929	kè	kè què	kMandarin17 retained
㤪	U+392A	yuàn	yuān yuàn	kMandarin17 retained
㤯	U+392F	jiǒng	jiōng	kMandarin17 retained
㤱	U+3931	fù	fù dòu	kMandarin17 retained
㤳	U+3933	běi	bǎi	kMandarin17 retained
㤴	U+3934	chè	dié chè shè	kMandarin17 retained
㤶	U+3936	máng	máng màng	kMandarin17 retained
㤹	U+3939	qiú	jiù qiú	kMandarin17 retained
㤺	U+393A	huǎng	huāng huang	kMandarin17 retained
㤾	U+393E	sàn	tán tàn sàn	kMandarin17 retained
㤿	U+393F	yān	yān yàn	kMandarin17 retained
㥀	U+3940	zhí	dé shí	kMandarin17 retained
㥃	U+3943	mèn	mēn mèn	kMandarin17 retained
㥄	U+3944	líng	léng líng	kMandarin17 retained
㥉	U+3949	chè	chì	kMandarin17 retained
㥊	U+394A	péng	pēng péng	kMandarin17 retained
㥍	U+394D	jì	jī jì qí	kMandarin17 retained
㥎	U+394E	lái	lí	kMandarin17 retained
㥐	U+3950	yuàn	yuān yuàn	kMandarin17 retained
㥒	U+3952	cǎi	cāi cǎi	kMandarin17 retained
㥚	U+395A	yú	yú yǔ	kMandarin17 retained
㥛	U+395B	jí	kè jí	kMandarin17 retained
㥠	U+3960	xū	xǔ	kMandarin17 retained
㥦	U+3966	qiè	qiè xiá	kMandarin17 retained
㥨	U+3968	shuì	shuì wěi	kMandarin17 retained
㥪	U+396A	lóu	lóu lǚ	kMandarin17 retained
㥭	U+396D	tài	tài shì	kMandarin17 retained
㥮	U+396E	zhòu	chǎo	kMandarin17 retained
㥱	U+3971	fěi	bēi fěi	kMandarin17 retained
㥴	U+3974	yí	tí yí	kMandarin17 retained
㥶	U+3976	sè	hán qiān sè	kMandarin17 retained
㥷	U+3977	yè	qiè yì	kMandarin17 retained
㥺	U+397A	hé	gài hé	kMandarin17 retained
㥼	U+397C	yìn	yān yìn	kMandarin17 retained
㥽	U+397D	cè	zé cè	kMandarin17 retained
㦀	U+3980	féng	péng	kMandarin17 retained
㦁	U+3981	lián	lián liǎn	kMandarin17 retained
㦅	U+3985	diē	dié chài	kMandarin17 retained
㦆	U+3986	hū	hū xiā	kMandarin17 retained
㦉	U+3989	yì	yí yì	kMandarin17 retained
㦌	U+398C	hū	hū hù cuǎn	kMandarin17 retained
㦏	U+398F	sǔn	xuàn sǔn	kMandarin17 retained
㦔	U+3994	yàn	yān yàn	kMandarin17 retained
㦖	U+3996	mèn	mǎn mèn	kMandarin17 retained
㦛	U+399B	yǔ	yú yǔ	kMandarin17 retained
㦤	U+39A4	yì	yí yì	kMandarin17 retained
㦥	U+39A5	xuān	xiǎn xuān	kMandarin17 retained
㦨	U+39A8	lán	lǎn	kMandarin17 retained
㦶	U+39B6	dié	dié yǒng	kMandarin17 retained
㦸	U+39B8	jǐ	jí jǐ	kMandarin17 retained
㦿	U+39BF	qiǎn	hù qiǎn	kMandarin17 retained
㧁	U+39C1	qù	hé qù	kMandarin17 retained
㧃	U+39C3	shōu	jiū shōu	kMandarin17 retained
㧅	U+39C5	mù	mù dāo lè cái	kMandarin17 retained
㧆	U+39C6	jīn	jīn jìn	kMandarin17 retained
㧉	U+39C9	gài	gài yè	kMandarin17 retained
㧊	U+39CA	pō	bá pō	kMandarin17 retained
㧍	U+39CD	fǎng	bāng bǎng bàng bēng bèng péng fǎng	kMandarin17 retained
㧎	U+39CE	yá	hē hè qiā yà	kMandarin17 retained
㧏	U+39CF	gāng	gāng gàng	kMandarin17 retained
㧑	U+39D1	huī	huī wéi	kMandarin17 retained
㧒	U+39D2	yù	tāo yǎo yù	kMandarin17 retained
㧗	U+39D7	zǐ	jǐ zhǐ zǐ	kMandarin17 retained
㧙	U+39D9	bì	bì bié	kMandarin17 retained
㧡	U+39E1	hài	hài wèi	kMandarin17 retained
㧦	U+39E6	xuàn	hōng jú xuàn	kMandarin17 retained
㧪	U+39EA	guǐ	guǐ wěi	kMandarin17 retained
㧫	U+39EB	ér	bù pū rù ruí ruán ér	kMandarin17 retained
㧭	U+39ED	qióng	gǒng qíng qióng	kMandarin17 retained
㧰	U+39F0	lì	lì luò	kMandarin17 retained
㧱	U+39F1	chèn	bǎ bà bǎi ná	kMandarin17 retained
㧳	U+39F3	zhuò	pǎi zhuò	kMandarin17 retained
㧴	U+39F4	wǒ	ě	kMandarin17 retained
㧵	U+39F5	póu	póu pǒu	kMandarin17 retained
㧻	U+39FB	zhuó	zhuó zú	kMandarin17 retained
㧼	U+39FC	biào	biǎo	kMandarin17 retained
㧾	U+39FE	hū	kū hū zǒng	kMandarin17 retained
㨀	U+3A00	bǐng	bǐng bìng	kMandarin17 retained
㨁	U+3A01	zhì	zhí zhì	kMandarin17 retained
㨄	U+3A04	zhōu	tiáo zhào	kMandarin17 retained
㨅	U+3A05	nèi	nèi ruì	kMandarin17 retained
㨇	U+3A07	pó	pó pán	kMandarin17 retained
㨊	U+3A0A	wěi	duò tuǒ wěi	kMandarin17 retained
㨋	U+3A0B	chě	zhě	kMandarin17 retained
㨎	U+3A0E	rú	rǔ rù ruí ruán	kMandarin17 retained
㨒	U+3A12	kuī	kuī kuí	kMandarin17 retained
