character	code_point	kMandarin17	CNS11643	policy
𢷿	U+22DFF	jié	jí jiā jié	kMandarin17 retained
𢸦	U+22E26	wěi	duò tuǒ yí wěi wèi	kMandarin17 retained
𢸨	U+22E28	tuō	tuō tuò	kMandarin17 retained
𢸳	U+22E33	xiāo	xiāo sù	kMandarin17 retained
𢹑	U+22E51	zhèng	zhēn zhēng zhèng	kMandarin17 retained
𢹓	U+22E53	chāi	zhǎ chā chāi	kMandarin17 retained
𢹲	U+22E72	jùn	jūn jùn	kMandarin17 retained
𢺞	U+22E9E	bǎ	bǎ bà bǎi	kMandarin17 retained
𢺰	U+22EB0	líng	līng líng lìng shí shè	kMandarin17 retained
𢺴	U+22EB4	yù	wān wǎn wàn yù	kMandarin17 retained
𢺷	U+22EB7	qí	bèi lù qí chì	kMandarin17 retained
𢺽	U+22EBD	bó	bó jiáo	kMandarin17 retained
𢻔	U+22ED4	huì	kě	kMandarin17 retained
𢻗	U+22ED7	xiá	xiā	kMandarin17 retained
𢻤	U+22EE4	qiāo	qiāo qiáo	kMandarin17 retained
𢻵	U+22EF5	bèi	bài lù	kMandarin17 retained
𢻹	U+22EF9	pī	pī pǐ	kMandarin17 retained
𢼚	U+22F1A	è	ề	kMandarin17 retained
𢼛	U+22F1B	gé	gé guó ề	kMandarin17 retained
𢼹	U+22F39	pū	bǔ pū	kMandarin17 retained
𢼺	U+22F3A	xué	jié jué xué	kMandarin17 retained
𢽚	U+22F5A	zhuó	dū zhuó	kMandarin17 retained
𢽾	U+22F7E	xiào	xiào xué	kMandarin17 retained
𢾇	U+22F87	pì	bì pì chè	kMandarin17 retained
𢾐	U+22F90	shǎo	shāo	kMandarin17 retained
𢾬	U+22FAC	lù	lè	kMandarin17 retained
𢿎	U+22FCE	duò	duǒ	kMandarin17 retained
𢿏	U+22FCF	biào	biào pāo	kMandarin17 retained
𣀏	U+2300F	chéng	cháng	kMandarin17 retained
𣀓	U+23013	chóu	dǎo chóu	kMandarin17 retained
𣀔	U+23014	chuàn	chuàn cuì	kMandarin17 retained
𣀯	U+2302F	sà	sān	kMandarin17 retained
𣀻	U+2303B	shǔ	zhǔ shǔ	kMandarin17 retained
𣂊	U+2308A	yùn	yū yùn	kMandarin17 retained
𣂻	U+230BB	ōu	kōu ōu	kMandarin17 retained
𣃘	U+230D8	chǎn	zhēng chǎn chuáng	kMandarin17 retained
𣃧	U+230E7	yǎn	yān	kMandarin17 retained
𣃳	U+230F3	yǎn	yè yǎn	kMandarin17 retained
𣃵	U+230F5	zhèn	zhèn shēn	kMandarin17 retained
𣄧	U+23127	suì	suì wéi	kMandarin17 retained
𣄴	U+23134	liàng	liáng liàng	kMandarin17 retained
